Outletid,OutletName,DistCode,DistributorName,MainChannelCode,MainChannelType,SM_Code,SM_Name,ASM_Code,ASM_Name,RSE_Code,RSE_Name,PSR_Code,PSR_Desc
"C032837","SOYEB MUDI BHANDAR (BHAGAWANPUR","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032838","ISRAIL MOLYA  (JIRANGACHHA)","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032839","GANESH CHANDRA MONDAL","C000336","MODERN DRINKS TRADERS","MC0015","GROCERIES","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032840","JAFAR ALI MOLLA  (MANIKTALA)","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032841","ASHADUL STORES (GRO) (PITHAPUKUR)","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032842","SAMSUL ALAM SANPUI (PITHAPUKUR","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032843","BABU HOTEL (HATISALA)","C000336","MODERN DRINKS TRADERS","MC0016","MASS EATERIES","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032844","MAHAMAYA HINDU HOTEL (HATISALA)","C000336","MODERN DRINKS TRADERS","MC0019","QSR","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032845","A S ENTERPRISE","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032846","FARUK MISTANNA BHANDAR (PIRNAGAR,KASIPUR","C000336","MODERN DRINKS TRADERS","MC0020","SWEET/ CHAAT/ BAKERY","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032847","ROY MUDI BHANDAR","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032848","KHADIJA MUDI BHANDAR (KRISHNAMATI)","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032849","JANAPRIYA STATIONARY & MUDI BHANDAR","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032850","SAFIKUL MOLLA (GUCHURIYA)","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032851","BHAI BHAI TEA HOUSE (ANANTAPUR)","C000336","MODERN DRINKS TRADERS","MC0001","CONVENIENCE","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C032852","GAZI MISTANNA BHANDAR (CHANDIHAT)","C000336","MODERN DRINKS TRADERS","MC0020","SWEET/ CHAAT/ BAKERY","E0998","SUBHRA CHATTERJEE","E1001","TANMOY KUMAR KAR","E0778","MAHASIN SARDAR","PSR0235","RAJ KUMAR SARDAR"
"C026245","PARBATI DEVI SHAW","C000317","SHREE ENTERPRISE","MC0015","GROCERIES","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026246","GRIHASTHI SOHAM VARIETY STORES","C000317","SHREE ENTERPRISE","MC0015","GROCERIES","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026247","RECOVARY","C000317","SHREE ENTERPRISE","MC0001","CONVENIENCE","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026248","KABITA MONDAL (113,REGENT PARK","C000317","SHREE ENTERPRISE","MC0018","PAAN PLUS","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026249","SANDHYA VARIETIES (10/9,VIVEKANANDA PARK","C000317","SHREE ENTERPRISE","MC0018","PAAN PLUS","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026250","LOKENATH STORES (150,SREEPUR BAGHARGHOLE","C000317","SHREE ENTERPRISE","MC0015","GROCERIES","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026251","UMESH SHAW","C000317","SHREE ENTERPRISE","MC0015","GROCERIES","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026252","MITA VARIETY STORES","C000317","SHREE ENTERPRISE","MC0001","CONVENIENCE","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026253","MATARANI STORE","C000317","SHREE ENTERPRISE","MC0015","GROCERIES","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026254","MAHAMAYA STORES","C000317","SHREE ENTERPRISE","MC0001","CONVENIENCE","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026255","P.K.STORES","C000317","SHREE ENTERPRISE","MC0018","PAAN PLUS","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026256","RAJ SWEETS (RANIA)","C000317","SHREE ENTERPRISE","MC0020","SWEET/ CHAAT/ BAKERY","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
"C026257","MATRI BHANDER","C000317","SHREE ENTERPRISE","MC0001","CONVENIENCE","E0696","RAJIB BISWAS","E0666","RAJAT KANTI KARAR","E0966","BISWAJIT NARU","PSR0852","SIDHESWAR CHATTERJEE"
